time,distance,angle
4.1961669921875e-05,4.080811136133506,1.3004560902349513
0.10525321960449219,4.080828852040187,1.3000042971918522
0.2104032039642334,4.0895878523259075,1.165682887428889
0.3179609775543213,4.099761583101186,0.8978527330853645
0.427731990814209,4.106025368055579,0.6979258225878537
0.5350914001464844,4.110877789544657,0.5839940101183353
0.6403493881225586,4.113343535389289,0.2826255978028511
0.7450470924377441,4.113343535389289,0.2826255978028511
0.8481910228729248,4.113343535389289,0.2826255978028511
0.9490242004394531,4.113343535389289,0.2826255978028511
1.0664231777191162,4.012682949548821,-0.2404507785791663
1.1716232299804688,4.004528317393651,-0.22776435594578137
1.2770800590515137,4.004528317393651,-0.22776435594578137
1.3818659782409668,4.004528317393651,-0.22776435594578137
1.4853241443634033,3.7652622766259576,-0.25725910996736134
1.590472936630249,3.687106340979397,-0.2712917961404131
1.6956672668457031,3.615571869260005,-0.26723781255036716
1.801281213760376,3.615571869260005,-0.26723781255036716
1.906130313873291,3.4737177230222334,-0.261100016794783
2.013000965118408,3.3794839523637252,-0.25833167534406365
2.114453077316284,3.3094246516510086,-0.2652317986768209
2.220123291015625,3.290974125074855,-0.2650705427086
2.3238532543182373,3.290974125074855,-0.2650705427086
2.429373264312744,3.290974125074855,-0.2650705427086
2.532015085220337,3.0087821129662196,-0.2661671971835682
2.6373441219329834,2.9721490373864237,-0.26839824983575844
2.742546319961548,2.9721490373864237,-0.26839824983575844
2.8481333255767822,2.9721490373864237,-0.26839824983575844
2.9489800930023193,2.9721490373864237,-0.26839824983575844
3.051704168319702,2.6482568419512056,-0.26785140300448096
3.1582772731781006,2.5726288795242547,-0.27630339976013185
3.263773202896118,2.5558412292778336,-0.264958332152871
3.3649561405181885,2.5558412292778336,-0.264958332152871
3.4688682556152344,2.5558412292778336,-0.264958332152871
3.574207067489624,2.5558412292778336,-0.264958332152871
3.700788974761963,2.22835062017841,-0.23469628521904218
3.8059840202331543,2.1771391580794486,-0.22927638973106257
3.91119122505188,2.1771391580794486,-0.22927638973106257
4.016343116760254,2.136088595570445,-0.23242661630916106
4.1215431690216064,1.9925755930595601,-0.21167184928704794
4.226763010025024,1.906673492557873,-0.2107635097949292
4.332231283187866,1.9017694411496127,-0.19334315364550747
4.435955286026001,1.9017694411496127,-0.19334315364550747
4.5404040813446045,1.7262532524927354,-0.18920517503142875
4.645725965499878,1.663112095168397,-0.18941743424411636
4.750997066497803,1.6024306475935333,-0.18353081664703666
4.8562822341918945,1.5569273805602581,-0.1498157530431079
4.961768388748169,1.5569273805602581,-0.1498157530431079
5.065341949462891,1.4302038803844617,-0.12636708540706376
5.170593023300171,1.3853726366659773,-0.12280345756196476
5.275794982910156,1.3135474566836773,-0.10437384937575755
5.381240129470825,1.3135474566836773,-0.10437384937575755
5.48317813873291,1.3135474566836773,-0.10437384937575755
5.585328102111816,1.1337074419764364,-0.07250976556830668
5.6918840408325195,1.087952878936961,-0.08777713696895217
5.797159194946289,1.0231852313556742,-0.08832711264400106
5.902416229248047,0.9781525788370116,-0.08205724784365431
6.007842063903809,0.9781525788370116,-0.08205724784365431
6.110265254974365,0.8249176844696049,-0.046299696480320174
6.2154221534729,0.762260815638878,-0.01560571120227494
6.321397066116333,0.7029098836853572,-0.018890228465642922
6.426822185516357,0.6986004245335867,-0.025931240585326476
6.531825304031372,0.6986004245335867,-0.025931240585326476
6.635277032852173,0.5468911051118881,-0.024428870071614095
6.7404773235321045,0.4967233396545461,-0.005995658830901918
6.845944166183472,0.4513988495449794,-0.015144945985148928
6.951314210891724,0.42898688567855486,-0.02362804146246178
7.053817272186279,0.42898688567855486,-0.02362804146246178
7.157015085220337,0.35391249898648275,-0.006384009218917685
7.262219190597534,0.32300422605714274,-0.01840568361081152
7.3674633502960205,0.29412440921067384,-0.017928464414879833
7.4728240966796875,0.2908900912806716,-0.00944598471602931
7.574315071105957,0.2908900912806716,-0.00944598471602931
7.676042079925537,0.2502282377617715,-0.01129619495555545
7.781282186508179,0.2434475587428179,-0.003080704107395471
7.888359308242798,0.2382562111118787,-0.004506734748933705
7.99360203742981,0.2371897455001799,-0.004834068365487942
8.099058151245117,0.2371897455001799,-0.004834068365487942
8.205523014068604,0.23737235809918003,-0.005251125420756342
