time,xd,x,yd,y
6.508827209472656e-05,6.457625865936229,5.457625865936279,0.06378702570994695,0.06378670781850815
0.10537314414978027,6.457009933133138,5.457625865936279,0.09887924595790798,0.06378670781850815
0.2105550765991211,6.45516526200974,5.457625865936279,0.13389486199043366,0.06378670781850815
0.3159961700439453,6.452090296135604,5.457625865936279,0.16886047746789518,0.06378670781850815
0.421450138092041,6.447775329075105,5.421716690063477,0.20380113795302798,0.06870917975902557
0.5281081199645996,6.442172940820898,5.421716690063477,0.23890683040909,0.06870917975902557
0.6335101127624512,6.435429309682757,5.4057745933532715,0.27331099136943315,0.08503467589616776
0.7394182682037354,6.427445579722214,5.406607627868652,0.3076098460809954,0.09609749913215637
0.8442771434783936,6.418317989939382,5.406607627868652,0.3414027067782358,0.09609749913215637
0.9545762538909912,6.407431375914876,5.450564861297607,0.3766277109084124,0.12297476083040237
1.0608141422271729,6.395759759703318,5.4770660400390625,0.4100594289004537,0.13191469013690948
1.1661162376403809,6.383047209148209,5.563312530517578,0.44272646230176116,0.16284330189228058
1.2699460983276367,6.3693692759260925,5.620402812957764,0.4745469229564246,0.18412819504737854
1.3754119873046875,6.354391959390738,5.620402812957764,0.5062915932496503,0.18412819504737854
1.4801700115203857,6.3383640681515745,5.731679916381836,0.537390148640647,0.2278374880552292
1.5861623287200928,6.321085535098694,5.786871910095215,0.5682045898666495,0.2508907914161682
1.6913032531738281,6.302880555264704,5.834712505340576,0.5981503575630512,0.27062851190567017
1.7968940734863281,6.283614164559852,5.853646755218506,0.6274739708792726,0.2786473035812378
1.8989460468292236,6.263903569982134,5.924177646636963,0.6553239120234037,0.30946892499923706
2.0045549869537354,6.242593372031009,5.9658589363098145,0.6833236432593428,0.3290480673313141
2.115990161895752,6.2190328153198635,5.9927449226379395,0.7120609225073107,0.33843615651130676
2.2213261127471924,6.195841700913841,6.028777122497559,0.738351294043119,0.34828096628189087
2.327122211456299,6.171614508192805,6.061545372009277,0.7639439892408205,0.3604748249053955
2.431063175201416,6.146948470638028,6.061545372009277,0.7882412244358015,0.3604748249053955
2.5357491970062256,6.12119203652574,6.10542631149292,0.8119043036877928,0.4000316262245178
2.640918016433716,6.094562144783721,6.12089204788208,0.8347031602878887,0.42690619826316833
2.7461531162261963,6.067121775283603,6.12089204788208,0.8565759209696954,0.42690619826316833
2.851639986038208,6.038943099473877,6.12089204788208,0.8774637162144654,0.42690619826316833
2.957463026046753,6.009816331964258,6.12089204788208,0.8975046992447484,0.42690619826316833
3.0640172958374023,5.979891904901689,6.12089204788208,0.9165693205302011,0.42690619826316833
3.1778690814971924,5.9471409567490126,6.127782344818115,0.9357815334147392,0.5490880608558655
3.283095121383667,5.916244374592348,6.128263473510742,0.9524199637335025,0.574388861656189
3.3884222507476807,5.884817668055887,6.124320983886719,0.9679477356237337,0.5895141959190369
3.493924140930176,5.852802902101763,6.124320983886719,0.9823916882575782,0.5895141959190369
3.595410108566284,5.8214237652328595,6.101012706756592,0.9952646133360762,0.6352592706680298
3.702152967453003,5.788058901025491,6.091888904571533,1.0076161464999531,0.653644323348999
3.807317018508911,5.754769367725523,6.080486297607422,1.0186195410120602,0.6743220686912537
3.91270112991333,5.721117862082523,6.077755451202393,1.02844828991187,0.6794686317443848
4.0164031982421875,5.687555784711165,6.057746410369873,1.03699389668025,0.7125011086463928
4.121546983718872,5.653317421828985,6.057746410369873,1.0444522037712782,0.7125011086463928
4.226701021194458,5.6188306922445665,6.033583164215088,1.0507076793126369,0.7480327486991882
4.331809997558594,5.584154048014325,6.004330158233643,1.0557497208084206,0.781899094581604
4.437124252319336,5.549316184645324,5.986868858337402,1.0595742782646518,0.801773726940155
4.54164719581604,5.514570326814588,5.986868858337402,1.0621640555058836,0.801773726940155
4.646881103515625,5.479468114514587,5.939489364624023,1.0635481374491191,0.8316855430603027
4.752536058425903,5.444253203513839,5.9160847663879395,1.063697289770582,0.8429701328277588
4.857645034790039,5.4092364168275875,5.89066219329834,1.062615252271938,0.8559132814407349
4.963147163391113,5.374240689777914,5.883810997009277,1.0603040997375044,0.8588888049125671
5.065455198287964,5.340218244558838,5.832232475280762,1.0568705161864078,0.8836254477500916
5.171105146408081,5.3053334338196265,5.796812057495117,1.0521221848302336,0.8993310928344727
5.280738115310669,5.269313941307986,5.76408576965332,1.0458959782374304,0.9147861003875732
5.395998954772949,5.231730130487215,5.731082916259766,1.037938193320597,0.9287040829658508
5.501309871673584,5.197736770546502,5.708699703216553,1.029425179554946,0.9384360313415527
5.603254079818726,5.1651096953330455,5.708699703216553,1.0200472841969446,0.9384360313415527
5.708528280258179,5.131660127050813,5.6441874504089355,1.0091682906055073,0.9654876589775085
5.813628196716309,5.098751449948531,5.608616352081299,0.9971725624089087,0.9790552258491516
5.91874623298645,5.066265808486767,5.579385280609131,0.9840243431242558,0.991442084312439
6.047846078872681,5.027037062281636,5.536433219909668,0.9663349237977228,1.0041730403900146
6.15294623374939,4.995694625444668,5.509125232696533,0.9507024473664546,1.0110632181167603
6.258242130279541,4.964892294108163,5.483728885650635,0.9339669346643648,1.0158299207687378
6.360473155975342,4.935492593969498,5.4660139083862305,0.9166506162501307,1.019445776939392
6.465149879455566,4.9060735527247425,5.407883167266846,0.8979270112393432,1.0304968357086182
6.5705389976501465,4.8771418186004505,5.3973002433776855,0.8780583276043232,1.0306153297424316
6.6846630573272705,4.846568228056426,5.385039806365967,0.8553728138036331,1.0319215059280396
6.819462299346924,4.811631337059722,5.319852352142334,0.8271287469212646,1.0228462219238281
